book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Second Epistle of St. Peter	1		ⲡⲉⲧⲣⲟⲩ ⲉⲡⲓⲥⲧⲟⲗⲏ ⲃ̅									ⲧⲉⲡⲓⲥⲧⲟⲗⲏ ⲙ̅ⲡⲉⲧⲣⲟⲥ ⲃ̅
Second Epistle of St. Peter	1	1	 ⲥⲓⲙⲱⲛ ⲡⲉⲧⲣⲟⲥ ⲫⲃⲱⲕ ⲟⲩⲟϩ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̀ⲧⲉ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲛ̀ⲛⲏ ⲉⲧⲟⲓ ⲛ̀ϩⲩⲥⲟⲥ ⲛ̀ⲧⲁⲓⲟ ⲛⲉⲙⲁⲛ ϧⲉⲛ ⲫⲛⲁϩϯ ⲉⲧⲁϥⲱⲡ ⲉ̀ⲣⲟⲛ ϧⲉⲛ ϯⲙⲉⲑⲙⲏⲓ ⲛ̀ⲧⲉ ⲡⲉⲛⲛⲟⲩϯ ⲛⲉⲙ ⲡⲉⲛⲥⲱⲧⲏⲣ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅ ⲡⲉⲛϭ̅ⲥ̅							 Συμεὼν Πέτρος δοῦλος καὶ ἀπόστολος Ἰησοῦ Χριστοῦ τοῖς ἰσότιμον ἡμῖν λαχοῦσιν πίστιν ἐν δικαιοσύνῃ τοῦ θεοῦ ἡμῶν καὶ σωτῆρος Ἰησοῦ Χριστοῦ·	 Simōn Petros, (the) servant and (the) apostle of Jesus Christ, to them who are equal in honour with us in (the) faith, which was allotted to us in the righteousness of our God and our saviour Jesus Christ our Lord:	 ⲥⲓⲙⲱⲛ ⲡⲉⲧⲣⲟⲥ ⲡϩⲙ̅ϩⲁⲗ ⲁⲩⲱ ⲡⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲛ̅ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲉϥⲥϩⲁⲓ ⲛ̅ⲛⲉⲛⲧⲁⲩϫⲓ ⲛ̅ⲧⲡⲓⲥⲧⲓⲥ ϩⲙ̅ ⲡⲉⲓⲧⲁⲓⲟ ⲛ̅ⲟⲩⲱⲧ ⲛ̅ⲧⲉⲛϩⲉ. ϩⲛ̅ ⲧⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲉⲛⲥⲱⲧⲏⲣ.
Second Epistle of St. Peter	1	2	 ⲡϩⲙⲟⲧ ⲛⲉⲙ ϯϩⲓⲣⲏⲛⲏ ⲛ̀ⲧⲟⲩⲁϣⲁⲓ ⲛⲱⲧⲉⲛ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲡⲥⲟⲩⲉⲛ ⲫϯ ⲛⲉⲙ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 χάρις ὑμῖν καὶ εἰρήνη πληθυνθείη ἐν ἐπιγνώσει τοῦ θεοῦ καὶ Ἰησοῦ τοῦ κυρίου ἡμῶν.	 (the) grace and the peace may they be multiplied to you, In (the) knowledge of God, and our Lord Jesus Christ:	 ⲧⲉⲭⲁⲣⲓⲥ ⲙⲛ̅ ϯⲣⲏⲛⲏ ⲉⲥⲉⲁϣⲁⲓ ⲛⲏⲧⲛ̅ ϩⲙ̅ ⲡⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅
Second Epistle of St. Peter	1	3	 ϩⲱⲥ ⲉ̀ⲁ ϩⲱⲃ ⲛⲓⲃⲉⲛ ϣⲱⲡⲓ ⲛⲁⲛ ϧⲉⲛ ϯϫⲟⲙ ⲛ̀ⲧⲉ ⲧⲉϥⲙⲉⲑⲛⲟⲩϯ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲱⲛϧ ⲛⲉⲙ ϯⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ ⲑⲏ ⲉⲧⲁⲩⲧⲏⲓⲥ ⲛⲁⲛ ⲛ̀ϫⲓⲛϫⲏ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲡⲥⲟⲩⲉⲛ ⲫⲏ ⲉⲧⲁϥⲑⲁϩⲙⲉⲛ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲉϥⲱⲟⲩ ⲛⲉⲙ ϯⲁⲣⲉⲧⲏ							 Ὡς πάντα ἡμῖν τῆς θείας δυνάμεως αὐτοῦ τὰ πρὸς ζωὴν καὶ εὐσέβειαν δεδωρημένης διὰ τῆς ἐπιγνώσεως τοῦ καλέσαντος ἡμᾶς ἰδίᾳ δόξῃ καὶ ἀρετῇ,	 since all things became ours (lit. to us) in the power of his deity, (tending) towards (the) life, and [the] godliness, which was given to us freely, through (the) knowledge of him who called us into his glory and [the] virtue;	 ϩⲱⲥ ⲉⲁϥⲭⲁⲣⲓⲍⲉ ⲛⲁⲛ ϩⲓⲧⲛ̅ ⲧⲉϥϭⲟⲙ ⲉⲧⲟⲩⲁⲁⲃ ⲛ̅ϩⲱⲃ ⲛⲓⲙ. ⲉⲧϫⲓ ⲉϩⲟⲩⲛ ⲉⲡⲱⲛϩ̅ ⲙⲛ̅ ⲧⲙⲛ̅ⲧⲣⲉϥϣⲙ̅ϣⲉ ⲛⲟⲩⲧⲉ ⲉⲃⲟⲗ ϩⲓⲧⲙ̅ ⲡⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉⲛⲧⲁϥⲧⲁϩⲙ̅ⲛ ϩⲙ̅ ⲡⲉϥⲉⲟⲟⲩ ⲙⲛ̅ ⲧⲉϥⲁⲣⲉⲧⲏ.
Second Epistle of St. Peter	1	4	 ⲛⲉⲙ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲛⲁⲓⲛⲓϣϯ ⲛⲱⲟⲩ ⲉⲧⲧⲁⲓⲏⲟⲩⲧ ⲉⲧⲁⲩⲧⲏⲓⲧⲟⲩ ⲛⲁⲛ ⲛ̀ⲧⲁⲓⲟ ϩⲓⲛⲁ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲛⲁⲓ ⲛ̀ⲧⲉⲧⲉⲛϣⲱⲡⲓ ⲉⲣⲉⲧⲉⲛⲟⲓ ⲛ̀ϣⲫⲏⲣ ⲛ̀ⲧⲫⲩⲥⲓⲥ ⲛ̀ⲧⲉ ϯⲙⲉⲑⲛⲟⲩϯ ⲉⲣⲉⲧⲉⲛⲫⲏⲧ ⲥⲁⲃⲟⲗ ⲛ̀ϯⲉⲡⲓⲑⲩⲙⲓⲁ ⲛ̀ⲧⲉ ⲡⲧⲁⲕⲟ ⲑⲏ ⲉⲧⲉ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲡⲓⲕⲟⲥⲙⲟⲥ							 διʼ ὧν τὰ τίμια καὶ μέγιστα ἡμῖν ἐπαγγέλματα δεδώρηται, ἵνα διὰ τούτων γένησθε θείας κοινωνοὶ φύσεως, ἀποφυγόντες τῆς ἐν τῷ κόσμῳ ἐν ἐπιθυμίᾳ φθορᾶς.	 and through these great (and) precious glories which were given to us as gifts, that through these ye might become sharers of (the) nature of the deity, escaping from the lust of (the) corruption which is in the world.	 ⲛⲁⲓ ⲛ̅ⲧⲁϥⲭⲁⲣⲓⲍⲉ ⲛⲏⲧⲛ̅ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛ̅ⲛⲉⲓⲛⲟϭ ⲛ̅ⲉⲣⲏⲧ ⲉⲧⲧⲁⲓⲏⲩ. ϫⲉⲕⲁⲁⲥ ϩⲓⲧⲛ̅ ⲛⲁⲓ ⲉⲧⲉⲧⲛ̅ⲛⲁϣⲱⲡⲉ ⲛ̅ⲕⲟⲓⲛⲱⲛⲟⲥ ⲛ̅ⲧⲉⲫⲩⲥⲓⲥ ⲉⲧⲟⲩⲁⲁⲃ ⲉⲁⲧⲉⲧⲛ̅ⲡⲱⲧ ⲉⲃⲟⲗ ⲛ̅ⲧⲉⲡⲓⲑⲩⲙⲓⲁ ⲙ̅ⲡⲧⲁⲕⲟ ⲉⲧϩⲙ̅ ⲡⲕⲟⲥⲙⲟⲥ.
Second Epistle of St. Peter	1	5	 ⲟⲩⲟϩ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ⲫⲁⲓ ⲉⲣⲉⲧⲉⲛⲓⲛⲓ ⲉ̀ϧⲟⲩⲛ ⲛ̀ⲥⲡⲟⲇⲏ ⲛⲓⲃⲉⲛ ⲥⲁϩⲛⲓ ⲛ̀ⲥⲁ ϯⲁⲣⲉⲧⲏ ϧⲉⲛ ⲡⲉⲧⲉⲛⲛⲁϩϯ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯⲁⲣⲉⲧⲏ ϯⲅⲛⲱⲥⲓⲥ							 καὶ αὐτὸ τοῦτο δὲ σπουδὴν πᾶσαν παρεισενέγκαντες ἐπιχορηγήσατε ἐν τῇ πίστει ὑμῶν τὴν ἀρετήν, ἐν δὲ τῇ ἀρετῇ τὴν γνῶσιν,	 And in this, bringing in all diligence, supply [the] virtue in your faith: in [the] virtue, [the] knowledge:	 ⲁⲩⲱ ϩⲙ̅ ⲡⲁⲓ ⲟⲛ ⲁⲧⲉⲧⲛ̅ⲉⲓⲛⲉ ⲛ̅ⲥⲡⲟⲩⲇⲏ ⲛⲓⲙ ⲛ̅ⲧⲉⲧⲛ̅ⲭⲟⲣⲏⲅⲉⲓ ⲛ̅ⲧⲁⲣⲉⲧⲏ ⲉϩⲣⲁⲓ ϩⲛ̅ ⲧⲡⲓⲥⲧⲓⲥ. ⲁⲩⲱ ⲡⲥⲟⲟⲩⲛ ϩⲣⲁⲓ ϩⲛ̅ ⲧⲁⲣⲉⲧⲏ.
Second Epistle of St. Peter	1	6	 ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯⲅⲛⲱⲥⲓⲥ ϯⲉⲅⲕⲣⲁⲧⲓⲁ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯⲉⲅⲕⲣⲁⲧⲓⲁ ϯϩⲩⲡⲟⲙⲟⲛⲏ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯϩⲟⲡⲟⲙⲟⲛⲏ ϯⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ							 ἐν δὲ τῇ γνώσει τὴν ἐγκράτειαν, ἐν δὲ τῇ ἐγκρατείᾳ τὴν ὑπομονήν, ἐν δὲ τῇ ὑπομονῇ τὴν εὐσέβειαν,	 in [the] knowledge, [the] temperance: in [the] temperance, [the] patience: in [the] patience, [the] godliness:	 ⲧⲉⲅⲕⲣⲁⲧⲓⲁ ⲇⲉ ϩⲣⲁⲓ ϩⲙ̅ ⲡⲥⲟⲟⲩⲛ. ⲑⲩⲡⲟⲙⲟⲛⲏ ⲇⲉ ϩⲣⲁⲓ ϩⲛ̅ ⲧⲉⲅⲕⲣⲁⲧⲓⲁ. ⲧⲙⲛ̅ⲧⲣⲉϥϣⲙ̅ϣⲉ ⲛⲟⲩⲧⲉ ⲇⲉ ϩⲛ̅ ⲑⲩⲡⲟⲙⲟⲛⲏ.
Second Epistle of St. Peter	1	7	 ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯⲙⲉⲧⲉⲩⲥⲉⲃⲏⲥ ϯⲙⲉⲧⲙⲁⲓⲥⲟⲛ ⲛ̀ϧⲣⲏⲓ ϧⲉⲛ ϯⲙⲉⲧⲙⲁⲓⲥⲟⲛ ϯⲁⲅⲁⲡⲏ							 ἐν δὲ τῇ εὐσεβείᾳ τὴν φιλαδελφίαν, ἐν δὲ τῇ φιλαδελφίᾳ τὴν ἀγάπην·	 in [the] godliness, [the]  brotherly love: in [the] brotherly love, [the] love.	 ⲧⲙⲛ̅ⲧⲙⲁⲓⲥⲟⲛ ⲇⲉ ϩⲛ̅ ⲧⲙⲛ̅ⲧⲣⲉϥϣⲙ̅ϣⲉ ⲛⲟⲩⲧⲉ. ⲧⲁⲅⲁⲡⲏ ϩⲣⲁⲓ ϩⲛ̅ ⲧⲙⲛ̅ⲧⲙⲁⲓⲥⲟⲛ.
Second Epistle of St. Peter	1	8	 ⲛⲁⲓ ⲇⲉ ⲧⲏⲣⲟⲩ ⲉⲩϣⲟⲡ ⲛⲱⲧⲉⲛ ⲟⲩⲟϩ ⲉⲩⲉ̀ⲉⲣϩⲟⲩⲟ ϧⲉⲛ ⲑⲏⲛⲟⲩ ⲛ̀ⲥⲉⲛⲁⲉⲣ ⲑⲏⲛⲟⲩ ⲛ̀ⲁⲣⲅⲟⲥ ⲁⲛ ⲟⲩⲟϩ ⲛ̀ⲁⲧⲟⲩⲧⲁϩ ⲉ̀ϧⲟⲩⲛ ⲉ̀ⲡⲥⲟⲩⲉⲛ ⲡⲉⲛϭ̅ⲥ̅ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 ταῦτα γὰρ ὑμῖν ὑπάρχοντα καὶ πλεονάζοντα οὐκ ἀργοὺς οὐδὲ ἀκάρπους καθίστησιν εἰς τὴν τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ ἐπίγνωσιν·	 But all these being yours (lit. to you), and abounding in you, they will not make you idle and unfruitful towards (the) knowledge of our Lord Jesus Christ.	 ⲛⲁⲓ ⲇⲉ ⲉⲩϣⲟⲟⲡ ⲛⲏⲧⲛ̅ ⲁⲩⲱ ⲉⲩⲣ̅ϩⲟⲩⲟ ⲛ̅ⲛⲉⲩⲛⲁϫⲓ ⲧⲏⲩⲧⲛ̅ ⲁⲛ ⲁϫⲛ̅ ϩⲱⲃ ⲟⲩⲇⲉ ⲁϫⲛ̅ ⲕⲁⲣⲡⲟⲥ ⲉϩⲟⲩⲛ ⲉⲡⲥⲟⲟⲩⲛ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅.
Second Epistle of St. Peter	1	9	 ⲫⲏ ⲉⲧⲉ ⲛⲁⲓ ϣⲟⲡ ⲛⲁϥ ⲁⲛ ⲟⲩⲃⲉⲗⲗⲉ ⲡⲉ ⲉϥϫⲟⲙϫⲉⲙ ⲉ̀ⲁϥϭⲓ ⲛ̀ⲟⲩⲉⲃϣⲓ ⲛ̀ⲧⲉ ⲡⲧⲟⲩⲃⲟ ⲛ̀ⲧⲉ ⲛⲉϥϣⲟⲣⲡ ⲛ̀ⲛⲟⲃⲓ							 ᾧ γὰρ μὴ πάρεστιν ταῦτα, τυφλός ἐστιν μυωπάζων, λήθην λαβὼν τοῦ καθαρισμοῦ τῶν πάλαι αὐτοῦ ἁμαρτημάτων.	 He to whom these things are not is blind, feeling (his way), having taken a forgetfulness of (the) cleansing of his former sins.	 ⲡⲉⲧⲉ ⲛ̅ⲛⲁⲓ ⲅⲁⲣ ϣⲟⲟⲡ ⲛⲁϥ ⲁⲛ ⲟⲩⲃⲗ̅ⲗⲉ ⲡⲉ. ⲛϥ̅ⲛⲁⲩ ⲉⲃⲟⲗ ⲁⲛ. ⲉⲁϥϫⲓ ⲛ̅ⲟⲩⲉⲃϣⲉ ⲙ̅ⲡⲧⲃ̅ⲃⲟ ⲛ̅ⲛⲉϥϣⲟⲣⲡ̅ ⲛ̅ⲛⲟⲃⲉ.
Second Epistle of St. Peter	1	10	 ⲉⲑⲃⲉⲫⲁⲓ ⲙⲁⲗⲗⲟⲛ ⲛⲉⲛⲥⲛⲏⲟⲩ ⲓⲏ̅ⲥ̅ ⲛ̀ⲧⲉⲛ ⲑⲏⲛⲟⲩ ϩⲓⲛⲁ ⲉ̀ⲃⲟⲗ ϩⲓⲧⲉⲛ ⲛⲓϩⲃⲏⲟⲩⲓ ⲉⲑⲛⲁⲛⲉⲩ ⲛ̀ⲧⲉⲧⲉⲛⲧⲁϫⲣⲉ ⲡⲉⲧⲉⲛⲑⲱϩⲉⲙ ⲛⲉⲙ ⲧⲉⲧⲉⲛⲙⲉⲧⲥⲱⲧⲡ ⲛⲁⲓ ⲅⲁⲣ ⲉⲣⲉⲧⲉⲛⲓⲣⲓ ⲙ̀ⲙⲱⲟⲩ ⲛ̀ⲛⲉⲧⲉⲛⲥⲗⲁϯ ⲉⲛⲉϩ							 διὸ μᾶλλον, ἀδελφοί, σπουδάσατε βεβαίαν ὑμῶν τὴν κλῆσιν καὶ ἐκλογὴν ποιεῖσθαι· ταῦτα γὰρ ποιοῦντες οὐ μὴ πταίσητέ ποτε·	 Therefore rather, our brethren, hasten yourselves that through [the] good works ye may confirm your calling and your election: for doing these things ye shall never stumble.	 ⲉⲧⲃⲉ ⲡⲁⲓ ⲛ̅ϩⲟⲩⲟ ⲛⲉⲥⲛⲏⲩ. ⲥⲡⲟⲩⲇⲁⲍⲉ ϫⲉⲕⲁⲁⲥ ⲉⲃⲟⲗ ϩⲓⲧⲛ̅ ⲛⲉϩⲃⲏⲩⲉ ⲉⲧⲛⲁⲛⲟⲩⲟⲩ ⲉⲧⲉⲧⲛⲉϫⲡⲟ ⲛⲏⲧⲛ̅ ⲛ̅ⲧⲉⲧⲛ̅ⲡⲓⲥⲧⲓⲥ ⲉⲥⲧⲁϫⲣⲏⲩ ⲙⲛ̅ ⲡⲉⲧⲛ̅ⲧⲱϩⲙ̅ ⲙⲛ̅ ⲧⲉⲧⲛ̅ⲙⲛ̅ⲧⲥⲱⲧⲡ̅. ⲛⲁⲓ ⲅⲁⲣ ⲉⲧⲉⲧⲛ̅ⲉⲓⲣⲉ ⲙ̅ⲙⲟⲟⲩ ⲛ̅ⲧⲉⲧⲛ̅ⲁϩⲉ ⲁⲛ ⲉⲛⲉϩ.
Second Epistle of St. Peter	1	11	 ⲡⲁⲓⲣⲏϯ ⲅⲁⲣ ϧⲉⲛ ⲟⲩⲙⲉⲧⲣⲁⲙⲁⲟ ⲉⲩⲉ̀ⲥⲉϩⲛⲉ ⲡⲓⲙⲱⲓⲧ ⲉ̀ϧⲟⲩⲛ ⲛⲱⲧⲉⲛ ⲛ̀ⲧⲉ ⲑⲙⲉⲧⲟⲩⲣⲟ ⲛ̀ⲉⲛⲉϩ ⲛ̀ⲧⲉ ⲡⲉⲛϭ̅ⲥ̅ ⲟⲩⲟϩ ⲡⲉⲛⲥⲱⲧⲏⲣ ⲓⲏ̅ⲥ̅ ⲡⲭ̅ⲥ̅							 οὕτως γὰρ πλουσίως ἐπιχορηγηθήσεται ὑμῖν ἡ εἴσοδος εἰς τὴν αἰώνιον βασιλείαν τοῦ κυρίου ἡμῶν καὶ σωτῆρος Ἰησοῦ Χριστοῦ.	 For thus richly the entering shall be supplied to you of (the) eternal kingdom of our Lord and our saviour Jesus Christ.	 ⲧⲁⲓ ⲅⲁⲣ ⲧⲉ ⲑⲉ ⲉⲧⲟⲩⲛⲁϯ ⲛⲏⲧⲛ̅ ϩⲛ̅ ⲟⲩⲙⲛ̅ⲧⲣⲙ̅ⲙⲁⲟ ⲛ̅ⲧⲉϩⲓⲏ ⲛϥ̅ⲃⲱⲕ ⲉϩⲟⲩⲛ ⲉⲧⲙⲛ̅ⲧⲉⲣⲟ ⲛ̅ϣⲁ ⲉⲛⲉϩ ⲙ̅ⲡⲉⲛϫⲟⲉⲓⲥ ⲓ̅ⲥ̅ ⲡⲉⲭ̅ⲥ̅ ⲡⲉⲛⲥⲱⲧⲏⲣ.
Second Epistle of St. Peter	1	12	 ⲉⲑⲃⲉⲫⲁⲓ ϯⲛⲁϯ ⲙ̀ⲫⲙⲉⲩⲓ ⲛⲱⲧⲉⲛ ⲛ̀ⲥⲏⲟⲩ ⲛⲓⲃⲉⲛ ⲉⲑⲃⲉ ⲛⲁⲓ ⲕⲉⲡⲉⲣ ⲉⲣⲉⲧⲉⲛⲥⲱⲟⲩⲛ ⲟⲩⲟϩ ⲉⲣⲉⲧⲉⲛⲧⲁϫⲣⲏⲟⲩⲧ ϧⲉⲛ ϯⲙⲉⲑⲙⲏⲓ ⲉⲧϣⲟⲡ							 Διὸ μελλήσω ἀεὶ ὑμᾶς ὑπομιμνῄσκειν περὶ τούτων, καίπερ εἰδότας καὶ ἐστηριγμένους ἐν τῇ παρούσῃ ἀληθείᾳ.	 Therefore I shall (lit. will) remind you always concerning these things, although ye know, and ye are confirmed in the truth which is.	 ⲉⲧⲃⲉ ⲡⲁⲓ ϯⲛⲁϥⲓⲣⲟⲟⲩϣ ⲛ̅ⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ⲉⲧⲣⲉⲧⲉⲧⲛ̅ⲣ̅ ⲡⲙⲉⲉⲩⲉ ⲉⲧⲃⲉ ⲛⲁⲓ. ⲕⲁⲓⲡⲉⲣ ⲧⲉⲧⲛ̅ⲥⲟⲟⲩⲛ ⲁⲩⲱ ⲛⲉⲧⲉⲧⲛ̅ⲧⲁϫⲣⲏⲩ ϩⲛ̅ ⲧⲙⲉ ⲉⲧϣⲟⲟⲡ.
